2lr,3colsample,4max_depth,5gamma,6reg_l2,7reg_l1,8AUC
0.1,0.8,16,2,1.0,1.0,0.8254417113893857
0.1,0.8,16,2,1.0,0.5,0.8254417113893857
0.1,0.8,16,2,1.0,0.0,0.8254417113893857
0.1,0.8,16,2,0.5,1.0,0.8254417113893857
0.1,0.8,16,2,0.5,0.5,0.8254417113893857
0.1,0.8,16,2,0.5,0.0,0.8254417113893857
0.1,0.8,16,2,0.0,1.0,0.8254417113893857
0.1,0.8,16,2,0.0,0.5,0.8254417113893857
0.1,0.8,16,2,0.0,0.0,0.8254417113893857
0.1,0.8,16,1,1.0,1.0,0.8254417113893857
0.1,0.8,16,1,1.0,0.5,0.8254417113893857
0.1,0.8,16,1,1.0,0.0,0.8254417113893857
0.1,0.8,16,1,0.5,1.0,0.8254417113893857
0.1,0.8,16,1,0.5,0.5,0.8254417113893857
0.1,0.8,16,1,0.5,0.0,0.8254417113893857
0.1,0.8,16,1,0.0,1.0,0.8254417113893857
0.1,0.8,16,1,0.0,0.5,0.8254417113893857
0.1,0.8,16,1,0.0,0.0,0.8254417113893857
0.1,0.8,16,0,1.0,1.0,0.8254417113893857
0.1,0.8,16,0,1.0,0.5,0.8254417113893857
0.1,0.8,16,0,1.0,0.0,0.8254417113893857
0.1,0.8,16,0,0.5,1.0,0.8254417113893857
0.1,0.8,16,0,0.5,0.5,0.8254417113893857
0.1,0.8,16,0,0.5,0.0,0.8254417113893857
0.1,0.8,16,0,0.0,1.0,0.8254417113893857
0.1,0.8,16,0,0.0,0.5,0.8254417113893857
0.1,0.8,16,0,0.0,0.0,0.8254417113893857
0.1,0.8,12,2,1.0,1.0,0.8238914728682171
0.1,0.8,12,2,1.0,0.5,0.8238914728682171
0.1,0.8,12,2,1.0,0.0,0.8238914728682171
0.1,0.8,12,2,0.5,1.0,0.8238914728682171
0.1,0.8,12,2,0.5,0.5,0.8238914728682171
0.1,0.8,12,2,0.5,0.0,0.8238914728682171
0.1,0.8,12,2,0.0,1.0,0.8238914728682171
0.1,0.8,12,2,0.0,0.5,0.8238914728682171
0.1,0.8,12,2,0.0,0.0,0.8238914728682171
0.1,0.8,12,1,1.0,1.0,0.8238914728682171
0.1,0.8,12,1,1.0,0.5,0.8238914728682171
0.1,0.8,12,1,1.0,0.0,0.8238914728682171
0.1,0.8,12,1,0.5,1.0,0.8238914728682171
0.1,0.8,12,1,0.5,0.5,0.8238914728682171
0.1,0.8,12,1,0.5,0.0,0.8238914728682171
0.1,0.8,12,1,0.0,1.0,0.8238914728682171
0.1,0.8,12,1,0.0,0.5,0.8238914728682171
0.1,0.8,12,1,0.0,0.0,0.8238914728682171
0.1,0.8,12,0,1.0,1.0,0.8238914728682171
0.1,0.8,12,0,1.0,0.5,0.8238914728682171
0.1,0.8,12,0,1.0,0.0,0.8238914728682171
0.1,0.8,12,0,0.5,1.0,0.8238914728682171
0.1,0.8,12,0,0.5,0.5,0.8238914728682171
0.1,0.8,12,0,0.5,0.0,0.8238914728682171
0.1,0.8,12,0,0.0,1.0,0.8238914728682171
0.1,0.8,12,0,0.0,0.5,0.8238914728682171
0.1,0.8,12,0,0.0,0.0,0.8238914728682171
0.1,0.8,8,2,1.0,1.0,0.8312461240310078
0.1,0.8,8,2,1.0,0.5,0.8312461240310078
0.1,0.8,8,2,1.0,0.0,0.8312461240310078
0.1,0.8,8,2,0.5,1.0,0.8312461240310078
0.1,0.8,8,2,0.5,0.5,0.8312461240310078
0.1,0.8,8,2,0.5,0.0,0.8312461240310078
0.1,0.8,8,2,0.0,1.0,0.8312461240310078
0.1,0.8,8,2,0.0,0.5,0.8312461240310078
0.1,0.8,8,2,0.0,0.0,0.8312461240310078
0.1,0.8,8,1,1.0,1.0,0.8312461240310078
0.1,0.8,8,1,1.0,0.5,0.8312461240310078
0.1,0.8,8,1,1.0,0.0,0.8312461240310078
0.1,0.8,8,1,0.5,1.0,0.8312461240310078
0.1,0.8,8,1,0.5,0.5,0.8312461240310078
0.1,0.8,8,1,0.5,0.0,0.8312461240310078
0.1,0.8,8,1,0.0,1.0,0.8312461240310078
0.1,0.8,8,1,0.0,0.5,0.8312461240310078
0.1,0.8,8,1,0.0,0.0,0.8312461240310078
0.1,0.8,8,0,1.0,1.0,0.8312461240310078
0.1,0.8,8,0,1.0,0.5,0.8312461240310078
0.1,0.8,8,0,1.0,0.0,0.8312461240310078
0.1,0.8,8,0,0.5,1.0,0.8312461240310078
0.1,0.8,8,0,0.5,0.5,0.8312461240310078
